Unnamed: 0,S.No,Candidate Name,Account IG,Phone Number,Area,Gas_Used,Type,Purchased Date,Quantity,Cost,No of gas registered per user,pen
22,23,Mila,1000319,9594444419,Bapatla,15,HP,6-2-21,29.5,850,3,
23,24,Aria,1000322,9594444519,Ongole,10,HP,9-2-21,29.5,850,2,
24,25,Scarlett,1000323,9594444619,Ponnur,9,HP,12-2-21,29.5,850,1,
25,26,Penelope,1000326,9594444719,Nidibrolu,20,Indane,15-3-21,29.5,850,0,
26,27,Layla,1000328,9594444819,Munnipale,5,Indane,18-3-21,29.5,850,2,
27,28,Chloe,1000330,9594444919,Nidibrolu,16,Indane,21-4-21,29.5,850,3,
28,29, Victoria,1000332,9594440919,Inturu,2,Indane,1-12-20,29.5,850,4,
29,30, Madison,1000335,6594441419,Tadiparru,12,Indane,5-12-20,29.5,850,3,
30,31,Eleanor,1000336,6594444219,Tenali,5,Indane,10-12-20,29.5,850,2,
31,32, Grace,1000338,6594443419,Bapatla,19,Indane,15-12-20,29.5,850,1,
32,33, Nora,1000342,6659444419,Ongole,2,HP,20-12-20,29.5,850,2,
33,34,Riley,1000361,6959444419,Bapatla,8,HP,25-12-20,29.5,850,3,
34,35,Zoey,1000370,5959444419,Nidibrolu,11,HP,30-12-20,29.5,850,3,
35,36,Hannah,1000374,9594444193,Munnipale,12,HP,3-12-20,29.5,850,2,
36,37, Hazel,1000380,9594444193,Vijayawada,5,HP,6-12-20,14.4,550,3,
37,38, Lily,1000386,4959444419,Tenali,4,HP,9-12-20,14.4,550,2,
38,39, Ellie,1000388,9594444191,Bapatla,3,HP,12-12-20,14.4,550,3,
39,40,Violet,1000393,9594444192,Ongole,3,HP,15-12-20,14.4,550,3,
40,41,Lillian,1000398,9594444193,Bapatla,12,HP,18-12-20,14.4,550,4,
41,42,Zoe,1000407,9594444194,Nidibrolu,5,HP,21-12-20,14.4,550,3,
42,43,Stella,1000416,9594444195,Munnipale,19,HP,1-1-21,29.5,850,3,
43,44,Aurora,1000422,9594444196,Vijayawada,2,HP,5-2-21,29.5,850,1,
44,45,Natalie,1000425,9594444197,Tadiparru,8,HP,10-2-21,29.5,850,2,
45,46, Emilia,1000426,9594444198,Tenali,11,HP,15-3-21,14.4,550,3,
46,47,Everly,1000428,9594444199,Bapatla,12,HP,20-4-21,29.5,850,4,
47,48,Leah,1000429,9594444119,Ongole,5,HP,25-1-21,29.5,850,4,
48,49,Aubrey,1000432,9594444129,Ongole,4,HP,30-1-21,29.5,850,3,
49,50, Willow,1000433,9594444139,Bapatla,3,HP,31-1-21,29.5,850,2,
50,51,Addison,1000435,9594444149,Nidibrolu,5,HP,6-2-21,29.5,850,1,
51,52,Lucy,1000441,9594444159,Munnipale,4,HP,9-2-21,29.5,850,0,
52,53, Audrey,1000449,9594444169,Vijayawada,3,HP,12-2-21,29.5,850,2,
53,54, Bella,1000452,9594444179,Tadiparru,3,HP,15-3-21,29.5,850,3,
54,55,Nova,1000454,9594444189,Tenali,24,HP,18-3-21,29.5,850,3,
55,56, Brooklyn,1000460,9594444199,Bapatla,29,HP,21-4-21,29.5,850,2,
56,57, Paisley,1000462,9594444109,Ongole,15,HP,6-2-21,29.5,850,3,
57,58,Savannah,1000463,9594444119,Ponnur,10,HP,9-2-21,29.5,850,2,
58,59, Claire,1000466,9594444219,Ponnur,9,HP,12-2-21,29.5,850,3,
59,60,Skylar,1000472,9594444319,Nidibrolu,20,HP,15-3-21,29.5,850,3,
60,61, Isla,1000478,9594444419,Inturu,5,Bharat,18-3-21,29.5,850,4,
61,62, Genesis,1000481,9594444519,Tadiparru,16,Bharat,21-4-21,29.5,850,3,
62,63, Naomi,1000487,9594444619,Tenali,24,Bharat,1-12-20,29.5,850,3,
63,64, Elena,1000495,9594444719,Bapatla,29,Bharat,5-12-20,14.4,550,1,
64,65, Caroline,1000496,9594444819,Ongole,15,Bharat,10-12-20,14.4,550,2,
65,66, Eliana,1000500,9594444919,Ponnur,10,Bharat,15-12-20,29.5,850,3,
66,67,Anna,1000507,9594440919,Nidibrolu,9,HP,20-12-20,29.5,850,4,
67,68,Maya,1000508,9594441419,Munnipale,20,HP,25-12-20,29.5,850,4,
68,69,Valentina,1000511,9594444219,Nidibrolu,5,HP,30-12-20,29.5,850,3,
69,70,Ruby,1000513,9594443419,Inturu,16,HP,3-12-20,29.5,850,2,
70,71, Kennedy,1000514,959444419,Tadiparru,2,Bharat,6-12-20,29.5,850,1,
71,72,Ivy,1000519,959444419,Tenali,12,Bharat,9-12-20,29.5,850,0,
72,73,Ariana,1000521,959444419,Bapatla,5,Bharat,12-12-20,29.5,850,2,
73,74, Aaliyah,1000522,959444419,Ongole,19,Bharat,15-12-20,29.5,850,3,
74,75,Cora,1000526,959444419,Bapatla,2,Bharat,18-12-20,29.5,850,4,
75,76,Madelyn,1000530,959444419,Nidibrolu,8,Bharat,21-12-20,29.5,850,3,
76,77, Alice,1000532,9594444191,Munnipale,11,HP,1-1-21,29.5,850,2,
77,78, Kinsley,1000533,9594444192,Vijayawada,12,Bharat,5-2-21,29.5,850,1,
78,79, Hailey,1000537,9594444193,Tadiparru,5,Bharat,10-2-21,29.5,850,2,
79,80, Gabriella,1000547,9594444194,Tenali,4,Bharat,15-3-21,29.5,850,3,
80,81, Allison,1000554,9594444195,Bapatla,3,Bharat,20-4-21,29.5,850,3,
81,82,Gianna,1000555,9594444196,Ongole,3,Bharat,25-1-21,14.4,550,2,
82,83,Serenity,1000557,9594444197,Ponnur,24,Bharat,30-1-21,29.5,850,3,
83,84,Samantha,1000576,9594444198,Nidibrolu,29,HP,31-1-21,29.5,850,2,
84,85,Sarah,1000579,9594444199,Munnipale,15,HP,6-2-21,29.5,850,3,
85,86,Autumn,1000581,9594444119,Nidibrolu,10,Bharat,9-2-21,29.5,850,3,
86,87, Quinn,1000583,9594444129,Inturu,9,Bharat,12-2-21,29.5,850,4,
87,88, Eva,1000586,9594444139,Tadiparru,20,Bharat,15-3-21,29.5,850,3,
88,89, Piper,1000588,9594444149,Tenali,5,Bharat,18-3-21,29.5,850,3,
89,90, Sophie,1000591,9594444159,Bapatla,16,Bharat,21-4-21,29.5,850,1,
90,91,Sadie,1000593,9594444169,Ongole,2,Bharat,1-12-20,29.5,850,2,
91,92,Delilah,1000594,9594444179,Bapatla,12,Bharat,5-12-20,29.5,850,3,
92,93, Josephine,1000602,9594444189,Nidibrolu,5,Bharat,10-12-20,29.5,850,4,
93,94, Nevaeh,1000603,9594444199,Munnipale,19,Bharat,1-12-20,29.5,850,4,
94,95,Adeline,1000610,9594444109,Vijayawada,2,Bharat,5-12-20,29.5,850,3,
95,96, Arya,1000616,9594444119,Tenali,8,Bharat,10-12-20,29.5,850,2,
96,97,Emery,1000625,9594444219,Bapatla,11,Bharat,15-12-20,29.5,850,1,
97,98, Lydia,1000628,9594444319,Ongole,12,Bharat,20-12-20,29.5,850,0,
98,99, Clara,1000632,4594444419,Bapatla,5,Bharat,25-12-20,14.4,550,2,
99,100,Estaa,1000671,5594444519,Nidibrolu,4,Bharat,30-12-20,14.4,550,3,
100,101,Madeline,1000649,4594444619,Munnipale,3,Bharat,3-12-20,14.4,550,4,
101,102,. Peyton,1000650,6594444719,Vijayawada,3,Bharat,6-12-20,14.4,550,3,
102,103,. Julia,1000664,7594444819,Tadiparru,12,Bharat,9-12-20,14.4,550,2,
103,104, Rylee,1000667,7594444919,Tenali,5,Bharat,12-12-20,14.4,550,1,
104,105,Aadhya,1000669,9594440919,Bapatla,19,Bharat,15-12-20,29.5,850,2,
105,106,Aanya,6000669,9594441419,Ongole,2,Indane,18-12-20,29.5,850,3,
106,107,Aarna,1000676,9594444219,Ongole,8,Indane,21-12-20,29.5,850,3,
107,108,Advika,1000680,9594443419,Bapatla,11,Indane,6-2-21,14.4,550,2,
108,109,Bhavna,1000684,959444419,Nidibrolu,12,Indane,9-2-21,29.5,850,3,
109,110,Brinda,1000686,959444419,Munnipale,5,Indane,12-2-21,29.5,850,2,
110,111,Binita,1000691,959444419,Vijayawada,4,Indane,15-3-21,29.5,850,3,
111,112,Chhaya,1000694,959444419,Tadiparru,3,Indane,18-3-21,29.5,850,3,
112,113,Chakrika,1000695,9594444191,Tenali,5,Indane,21-4-21,29.5,850,4,
113,114,Daksha,1000696,9594444192,Bapatla,4,Indane,1-12-20,29.5,850,3,
114,115,Chara,1000697,9594444193,Ongole,3,Indane,5-12-20,29.5,850,3,
115,116,Dhriti,1000711,9594444194,Ponnur,3,Indane,10-12-20,29.5,850,1,
116,117,Darika,1000712,9594444195,Bapatla,24,Indane,1-12-20,29.5,850,2,
117,118,Ekaja,1000713,9594444196,Ongole,29,Indane,5-12-20,29.5,850,3,
118,119,Ela,1000719,9594444197,Bapatla,15,Indane,10-12-20,29.5,850,4,
119,120,Aqsa,1000721,9594444198,Nidibrolu,10,Indane,15-12-20,29.5,850,4,
